Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
"Living Area (e.g. living, TV, recreation, etc)",1,1,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.72541063,-79.40073161,"Upholstered Sofa, Chair, etc.",Improperly Discarded
Cooking Area or Kitchen,0,1,2000,0,Fire alarm system present,"Stove, Range-top burner",43.70322,-79.27952,"Cooking Oil, Grease",Unattended
"Living Area (e.g. living, TV, recreation, etc)",1,1,2000,0,Fire alarm system present,Undetermined,43.63718,-79.43604,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Incandescent Lamp - Light Bulb, Spotlight",43.71481069,-79.30410748,Insulation,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.65682099,-79.37566601,Other,Unattended
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,Undetermined,"Blow Torch, Bunsen Burner",43.72309381,-79.42340934,Plastic,Design/Construction/Installation/Maintenance Deficiency
Exterior Wall,0,0,2000,0,Fire alarm system present,Undetermined,43.69262539,-79.51749313,Other Furniture,Suspected Arson
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.7361141,-79.57552614,"Cooking Oil, Grease","Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.75418814,-79.51371439,"Cooking Oil, Grease",Unattended
"Lobby, Entranceway",0,0,2000,0,Undetermined,Matches or Lighters (unable to distinguish),43.66428591,-79.36798185,"Rubbish, Trash, Waste",Suspected Arson
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.66754835,-79.38790798,Multiple Objects or Materials,Improper handling of ignition source or ignited material
Storage Area (outside),0,0,2000,0,Undetermined,Undetermined,43.63449366,-79.53232062,Other,Undetermined
Garage,0,0,2000,0,Fire alarm system present,Other,43.63751569,-79.48723471,Propane,Unattended
Cooking Area or Kitchen,0,0,2000,0,Undetermined,"Stove, Range-top burner",43.66934793,-79.48200003,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.76720306,-79.18311245,"Cooking Oil, Grease","Other unintentional cause, not classified"
Garage,0,0,2000,0,No Fire alarm system,"Blow Torch, Bunsen Burner",43.78005107,-79.4889733,Multiple diverse objects ignited,Improperly Discarded
"HVAC Equipment Room (furnace room, water heater closet, boiler)",0,0,2000,0,No Fire alarm system,Static Electricity (spark),43.6556038,-79.44302923,Other Gases,Electrical Failure
"Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,2000,0,No Fire alarm system,Undetermined,43.75203278,-79.43939107,"Rubbish, Trash, Waste",Undetermined
Mechanical/Electrical Services Room,0,0,2000,0,Fire alarm system present,"Distribution Equipment (includes panel boards, fuses, circuit br",43.72297928,-79.40316776,Other,Electrical Failure
Garage,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.63995117,-79.43986328,Exterior Cladding,"Other unintentional cause, not classified"
Laundry Area,0,0,2000,0,Fire alarm system present,Clothes Dryer,43.66838942,-79.4020205,"Fabric - Natural (eg. cotton, wool, etc.)",Design/Construction/Installation/Maintenance Deficiency
