Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,500000,0,Undetermined,Cutting/Welding Equipment,43.76432,-79.47659,Gasoline,Improper handling of ignition source or ignited material
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,500000,0,No Fire alarm system,Undetermined,43.67032,-79.41327,Undetermined (formerly 98),Undetermined
Roof,0,0,500000,0,Fire alarm system present,Other Mechanical,43.73787,-79.28765,Other,Mechanical Failure
Undetermined  (formerly 98),0,0,500000,0,Undetermined,Undetermined,43.71669,-79.5824,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,500000,0,Undetermined,"Stove, Range-top burner",43.71476,-79.58524,Other,"Other unintentional cause, not classified"
Multiple Areas of Origin,0,0,500000,0,Undetermined,Undetermined,43.71892,-79.57588,Undetermined (formerly 98),Undetermined
"Living Area (e.g. living, TV, recreation, etc)",0,0,500000,1,Fire alarm system present,Other Heating Equipment,43.66310634,-79.37834567,"Upholstered Sofa, Chair, etc.","Other unintentional cause, not classified"
Basement/cellar (not partitioned),0,0,500000,1,Undetermined,Undetermined,43.73199,-79.37211,Interior Wall/Ceiling,Undetermined
Garage,0,0,500000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.76680035,-79.20678766,Interior Wall/Ceiling,Undetermined
Porch or Balcony,2,0,500000,2,Fire alarm system present,Undetermined,43.79634048,-79.3271783,Multiple diverse objects ignited,Improperly Discarded
Garage,0,0,500000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.78457,-79.17117,Vehicle,Undetermined
Porch or Balcony,0,0,500000,2,No Fire alarm system,Undetermined,43.80832,-79.1662,Undetermined (formerly 98),Undetermined
Basement/cellar (not partitioned),0,0,500000,2,Fire alarm system present,Undetermined,43.70403,-79.37578,Undetermined (formerly 98),Undetermined
Garage,0,0,500000,2,No Fire alarm system,Undetermined,43.75009,-79.25133,Undetermined (formerly 98),Undetermined
Other Vehicle Area,0,0,500000,2,Undetermined,Undetermined,43.75875,-79.25817,Vehicle,Undetermined
Chimney/Flue Pipe,0,0,500000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),Wood burning stove,43.76773,-79.40694,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Porch or Balcony,0,0,500000,3,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.67071138,-79.29687292,Other,Improperly Discarded
Cooking Area or Kitchen,0,0,500000,3,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.72392,-79.53433,Cabinetry,Unattended
Cooking Area or Kitchen,0,0,500000,3,Undetermined,Undetermined,43.73183,-79.39592,Interior Wall/Ceiling,Undetermined
